localidad,departamento
Armstrong,Belgrano
,Caseros
Castellanos,Castellanos
Castellanos Rafaela,Castellanos
Alcorta,Constitución
,Garay
Amenábar,General López
,General Obligado
,Iriondo
Adelina,La Capital
Alto Verde,La Capital
Arroyo Leyes,La Capital
Santa Fe,La Capital
Sauce Viejo,La Capital
Cayasta,La Capital
Capital,La Capital
Santa Fe de la Vera Cruz,La Capital
Capital Santa Fe,La Capital
Santa Fe Capital,La Capital
Jacinto L. Arauz,Las Colonias
Arauz,Las Colonias
Santo Domingo,Las Colonias
,Nueve de Julio
Aero Club,Rosario
Aero Club Rosario,Rosario
Arroyo Seco,Rosario
Arroyoseco,Rosario
Arroyito,Rosario
Arroyo,Rosario
,San Cristóbal
Alejandra,San Javier
Arocena,San Jerónimo
,San Justo
,San Lorenzo
,San Martín
,Vera
,Caseros
